Dex #,Name,Gen
Dex #,Name,4
387,TurtwigS,4
395,Empoleon,4
403,Shinx,4
411,BastiodonF[f],4
419,Floatzel,4
427,Buneary,4
435,Skuntank,4
443,Gible,4
451,Skorupi,4
459,Snover,4
467,Magmortar,4
475,Gallade,4
483,DialgaL,4
491,DarkraiM,4
Dex #,Name,4
388,Grotle,4
396,Starly,4
404,Luxio,4
412,Burmy,4
420,Cherubi,4
428,Lopunny,4
436,Bronzor,4
444,Gabite,4
452,Drapion,4
460,Abomasnow,4
468,Togekiss,4
476,Probopass,4
484,PalkiaL,4
492,ShayminM,4
Dex #,Name,4
389,Torterra,4
397,Staravia,4
405,Luxray,4
413,Wormadam,4
421,Cherrim,4
429,Mismagius,4
437,Bronzong,4
445,Garchomp,4
453,Croagunk,4
461,Weavile,4
469,Yanmega,4
477,Dusknoir,4
485,HeatranL,4
493,ArceusM,4
Dex #,Name,4
390,ChimcharS,4
398,Staraptor,4
406,BudewB,4
414,Mothim,4
422,Shellos,4
430,Honchkrow,4
438,BonslyB,4
446,MunchlaxB,4
454,Toxicroak,4
462,Magnezone,4
470,Leafeon,4
478,Froslass,4
486,RegigigasL,4
No additional Pokémon,No additional Pokémon,4
Dex #,Name,4
391,Monferno,4
399,Bidoof,4
407,Roserade,4
415,Combee,4
423,Gastrodon,4
431,Glameow,4
439,Mime Jr.B,4
447,RioluB,4
455,Carnivine,4
463,Lickilicky,4
471,Glaceon,4
479,Rotom,4
487,GiratinaL,4
No additional Pokémon,No additional Pokémon,4
Dex #,Name,4
392,Infernape,4
400,Bibarel,4
408,CranidosF[f],4
416,Vespiquen,4
424,Ambipom,4
432,Purugly,4
440,HappinyB,4
448,Lucario,4
456,Finneon,4
464,Rhyperior,4
472,Gliscor,4
480,UxieL,4
488,CresseliaL,4
No additional Pokémon,No additional Pokémon,4
Dex #,Name,4
393,PiplupS,4
401,Kricketot,4
409,RampardosF[f],4
417,Pachirisu,4
425,Drifloon,4
433,ChinglingB,4
441,Chatot,4
449,Hippopotas,4
457,Lumineon,4
465,Tangrowth,4
473,Mamoswine,4
481,MespritL,4
489,PhioneM,4
No additional Pokémon,No additional Pokémon,4
Dex #,Name,4
394,Prinplup,4
402,Kricketune,4
410,ShieldonF[f],4
418,Buizel,4
426,Drifblim,4
434,Stunky,4
442,Spiritomb,4
450,Hippowdon,4
458,MantykeB,4
466,Electivire,4
474,Porygon-Z,4
482,AzelfL,4
490,ManaphyM,4
No additional Pokémon,No additional Pokémon,4
