Dex #,Name,Gen
Dex #,Name,5
494,VictiniM,5
502,Dewott,5
510,Liepard,5
518,Musharna,5
526,Gigalith,5
534,Conkeldurr,5
542,Leavanny,5
550,Basculin,5
558,Crustle,5
566,ArchenF,5
574,Gothita,5
582,Vanillite,5
590,Foongus,5
598,Ferrothorn,5
606,Beheeyem,5
614,Beartic,5
622,Golett,5
630,Mandibuzz,5
638,CobalionL,5
646,KyuremL,5
Dex #,Name,5
495,SnivyS,5
503,Samurott,5
511,Pansage,5
519,Pidove,5
527,Woobat,5
535,Tympole,5
543,Venipede,5
551,Sandile,5
559,Scraggy,5
567,ArcheopsF,5
575,Gothorita,5
583,Vanillish,5
591,Amoonguss,5
599,Klink,5
607,Litwick,5
615,Cryogonal,5
623,Golurk,5
631,Heatmor,5
639,TerrakionL,5
647,KeldeoM,5
Dex #,Name,5
496,Servine,5
504,Patrat,5
512,Simisage,5
520,Tranquill,5
528,Swoobat,5
536,Palpitoad,5
544,Whirlipede,5
552,Krokorok,5
560,Scrafty,5
568,Trubbish,5
576,Gothitelle,5
584,Vanilluxe,5
592,Frillish,5
600,Klang,5
608,Lampent,5
616,Shelmet,5
624,Pawniard,5
632,Durant,5
640,VirizionL,5
648,MeloettaM,5
Dex #,Name,5
497,Serperior,5
505,Watchog,5
513,Pansear,5
521,Unfezant,5
529,Drilbur,5
537,Seismitoad,5
545,Scolipede,5
553,Krookodile,5
561,Sigilyph,5
569,Garbodor,5
577,Solosis,5
585,Deerling,5
593,Jellicent,5
601,Klinklang,5
609,Chandelure,5
617,Accelgor,5
625,Bisharp,5
633,Deino,5
641,TornadusL,5
649,GenesectM,5
Dex #,Name,5
498,TepigS,5
506,Lillipup,5
514,Simisear,5
522,Blitzle,5
530,Excadrill,5
538,Throh,5
546,Cottonee,5
554,Darumaka,5
562,Yamask,5
570,Zorua,5
578,Duosion,5
586,Sawsbuck,5
594,Alomomola,5
602,Tynamo,5
610,Axew,5
618,Stunfisk,5
626,Bouffalant,5
634,Zweilous,5
642,ThundurusL,5
No additional Pokémon,No additional Pokémon,5
Dex #,Name,5
499,Pignite,5
507,Herdier,5
515,Panpour,5
523,Zebstrika,5
531,Audino,5
539,Sawk,5
547,Whimsicott,5
555,Darmanitan,5
563,Cofagrigus,5
571,Zoroark,5
579,Reuniclus,5
587,Emolga,5
595,Joltik,5
603,Eelektrik,5
611,Fraxure,5
619,Mienfoo,5
627,Rufflet,5
635,Hydreigon,5
643,ReshiramL,5
No additional Pokémon,No additional Pokémon,5
Dex #,Name,5
500,Emboar,5
508,Stoutland,5
516,Simipour,5
524,Roggenrola,5
532,Timburr,5
540,Sewaddle,5
548,Petilil,5
556,Maractus,5
564,TirtougaF,5
572,Minccino,5
580,Ducklett,5
588,Karrablast,5
596,Galvantula,5
604,Eelektross,5
612,Haxorus,5
620,Mienshao,5
628,Braviary,5
636,Larvesta,5
644,ZekromL,5
No additional Pokémon,No additional Pokémon,5
Dex #,Name,5
501,OshawottS,5
509,Purrloin,5
517,Munna,5
525,Boldore,5
533,Gurdurr,5
541,Swadloon,5
549,Lilligant,5
557,Dwebble,5
565,CarracostaF,5
573,Cinccino,5
581,Swanna,5
589,Escavalier,5
597,Ferroseed,5
605,Elgyem,5
613,Cubchoo,5
621,Druddigon,5
629,Vullaby,5
637,Volcarona,5
645,LandorusL,5
No additional Pokémon,No additional Pokémon,5
