Dex #,Name,Gen
1,BulbasaurS,1
9,Blastoise,1
17,Pidgeotto,1
25,PikachuS,1
33,Nidorino,1
41,Zubat,1
49,Venomoth,1
57,Primeape,1
65,Alakazam,1
73,Tentacruel,1
81,Magnemite,1
89,Muk,1
97,Hypno,1
105,Marowak,1
113,Chansey,1
121,Starmie,1
129,Magikarp,1
137,Porygon,1
145,ZapdosL,1
2,Ivysaur,1
10,Caterpie,1
18,Pidgeot,1
26,Raichu,1
34,Nidoking,1
42,Golbat,1
50,Diglett,1
58,Growlithe,1
66,Machop,1
74,Geodude,1
82,Magneton,1
90,Shellder,1
98,Krabby,1
106,Hitmonlee,1
114,Tangela,1
122,Mr. Mime,1
130,Gyarados,1
138,OmanyteF,1
146,MoltresL,1
3,Venusaur,1
11,Metapod,1
19,Rattata,1
27,Sandshrew,1
35,Clefairy,1
43,Oddish,1
51,Dugtrio,1
59,Arcanine,1
67,Machoke,1
75,Graveler,1
83,Farfetch'd,1
91,Cloyster,1
99,Kingler,1
107,Hitmonchan,1
115,Kangaskhan,1
123,Scyther,1
131,Lapras,1
139,OmastarF,1
147,Dratini,1
4,CharmanderS,1
12,Butterfree,1
20,Raticate,1
28,Sandslash,1
36,Clefable,1
44,Gloom,1
52,Meowth,1
60,Poliwag,1
68,Machamp,1
76,Golem,1
84,Doduo,1
92,Gastly,1
100,Voltorb,1
108,Lickitung,1
116,Horsea,1
124,Jynx,1
132,Ditto,1
140,KabutoF,1
148,Dragonair,1
5,Charmeleon,1
13,Weedle,1
21,Spearow,1
29,Nidoran♀,1
37,Vulpix,1
45,Vileplume,1
53,Persian,1
61,Poliwhirl,1
69,Bellsprout,1
77,Ponyta,1
85,Dodrio,1
93,Haunter,1
101,Electrode,1
109,Koffing,1
117,Seadra,1
125,Electabuzz,1
133,EeveeS,1
141,KabutopsF,1
149,Dragonite,1
6,Charizard,1
14,Kakuna,1
22,Fearow,1
30,Nidorina,1
38,Ninetales,1
46,Paras,1
54,Psyduck,1
62,Poliwrath,1
70,Weepinbell,1
78,Rapidash,1
86,Seel,1
94,Gengar,1
102,Exeggcute,1
110,Weezing,1
118,Goldeen,1
126,Magmar,1
134,Vaporeon,1
142,AerodactylF,1
150,MewtwoL,1
7,SquirtleS,1
15,Beedrill,1
23,Ekans,1
31,Nidoqueen,1
39,Jigglypuff,1
47,Parasect,1
55,Golduck,1
63,Abra,1
71,Victreebel,1
79,Slowpoke,1
87,Dewgong,1
95,Onix,1
103,Exeggutor,1
111,Rhyhorn,1
119,Seaking,1
127,Pinsir,1
135,Jolteon,1
143,Snorlax,1
151,MewM,1
8,Wartortle,1
16,Pidgey,1
24,Arbok,1
32,Nidoran♂,1
40,Wigglytuff,1
48,Venonat,1
56,Mankey,1
64,Kadabra,1
72,Tentacool,1
80,Slowbro,1
88,Grimer,1
96,Drowzee,1
104,Cubone,1
112,Rhydon,1
120,Staryu,1
128,Tauros,1
136,Flareon,1
144,ArticunoL,1
No additional Pokémon,No additional Pokémon,1
