Dex #,Name,Gen
Dex #,Name,3
252,TreeckoS,3
260,Swampert,3
268,Cascoon,3
276,Taillow,3
284,Masquerain,3
292,Shedinja,3
300,Skitty,3
308,Medicham,3
316,Gulpin,3
324,Torkoal,3
332,Cacturne,3
340,Whiscash,3
348,ArmaldoF,3
356,Dusclops,3
364,Sealeo,3
372,Shelgon,3
380,LatiasL,3
Dex #,Name,3
253,Grovyle,3
261,Poochyena,3
269,Dustox,3
277,Swellow,3
285,Shroomish,3
293,Whismur,3
301,Delcatty,3
309,Electrike,3
317,Swalot,3
325,Spoink,3
333,Swablu,3
341,Corphish,3
349,Feebas,3
357,Tropius,3
365,Walrein,3
373,Salamence,3
381,LatiosL,3
Dex #,Name,3
254,Sceptile,3
262,Mightyena,3
270,Lotad,3
278,Wingull,3
286,Breloom,3
294,Loudred,3
302,Sableye,3
310,Manectric,3
318,Carvanha,3
326,Grumpig,3
334,Altaria,3
342,Crawdaunt,3
350,Milotic,3
358,Chimecho,3
366,Clamperl,3
374,Beldum,3
382,KyogreL,3
Dex #,Name,3
255,TorchicS,3
263,Zigzagoon,3
271,Lombre,3
279,Pelipper,3
287,Slakoth,3
295,Exploud,3
303,Mawile,3
311,Plusle,3
319,Sharpedo,3
327,Spinda,3
335,Zangoose,3
343,Baltoy,3
351,Castform,3
359,Absol,3
367,Huntail,3
375,Metang,3
383,GroudonL,3
Dex #,Name,3
256,Combusken,3
264,Linoone,3
272,Ludicolo,3
280,Ralts,3
288,Vigoroth,3
296,Makuhita,3
304,Aron,3
312,Minun,3
320,Wailmer,3
328,Trapinch,3
336,Seviper,3
344,Claydol,3
352,Kecleon,3
360,WynautB,3
368,Gorebyss,3
376,Metagross,3
384,RayquazaL,3
Dex #,Name,3
257,Blaziken,3
265,Wurmple,3
273,Seedot,3
281,Kirlia,3
289,Slaking,3
297,Hariyama,3
305,Lairon,3
313,Volbeat,3
321,Wailord,3
329,Vibrava,3
337,Lunatone,3
345,LileepF,3
353,Shuppet,3
361,Snorunt,3
369,Relicanth,3
377,RegirockL,3
385,JirachiM,3
Dex #,Name,3
258,MudkipS,3
266,Silcoon,3
274,Nuzleaf,3
282,Gardevoir,3
290,Nincada,3
298,AzurillB,3
306,Aggron,3
314,Illumise,3
322,Numel,3
330,Flygon,3
338,Solrock,3
346,CradilyF,3
354,Banette,3
362,Glalie,3
370,Luvdisc,3
378,RegiceL,3
386,DeoxysM,3
Dex #,Name,3
259,Marshtomp,3
267,Beautifly,3
275,Shiftry,3
283,Surskit,3
291,Ninjask,3
299,Nosepass,3
307,Meditite,3
315,Roselia,3
323,Camerupt,3
331,Cacnea,3
339,Barboach,3
347,AnorithF,3
355,Duskull,3
363,Spheal,3
371,Bagon,3
379,RegisteelL,3
No additional Pokémon,No additional Pokémon,3
