Dex #,Name,Gen
Dex #,Name,6
650,ChespinS,6
658,Greninja,6
666,Vivillon,6
674,Pancham,6
682,Spritzee,6
690,Skrelp,6
698,AmauraF,6
706,Goodra,6
714,Noibat,6
Dex #,Name,6
651,Quilladin,6
659,Bunnelby,6
667,Litleo,6
675,Pangoro,6
683,Aromatisse,6
691,Dragalge,6
699,AurorusF,6
707,Klefki,6
715,Noivern,6
Dex #,Name,6
652,Chesnaught,6
660,Diggersby,6
668,Pyroar,6
676,Furfrou,6
684,Swirlix,6
692,Clauncher,6
700,Sylveon,6
708,Phantump,6
716,XerneasL,6
Dex #,Name,6
653,FennekinS,6
661,Fletchling,6
669,Flabébé,6
677,Espurr,6
685,Slurpuff,6
693,Clawitzer,6
701,Hawlucha,6
709,Trevenant,6
717,YveltalL,6
Dex #,Name,6
654,Braixen,6
662,Fletchinder,6
670,Floette,6
678,Meowstic,6
686,Inkay,6
694,Helioptile,6
702,Dedenne,6
710,Pumpkaboo,6
718,ZygardeL,6
Dex #,Name,6
655,Delphox,6
663,Talonflame,6
671,Florges,6
679,Honedge,6
687,Malamar,6
695,Heliolisk,6
703,Carbink,6
711,Gourgeist,6
719,DiancieM,6
Dex #,Name,6
656,FroakieS,6
664,Scatterbug,6
672,Skiddo,6
680,Doublade,6
688,Binacle,6
696,TyruntF,6
704,Goomy,6
712,Bergmite,6
720,HoopaM,6
Dex #,Name,6
657,Frogadier,6
665,Spewpa,6
673,Gogoat,6
681,Aegislash,6
689,Barbaracle,6
697,TyrantrumF,6
705,Sliggoo,6
713,Avalugg,6
721,VolcanionM,6
