Dex #,Name,Gen
Dex #,Name,9
906,SprigatitoS,9
914,Quaquaval,9
922,Pawmo,9
930,Arboliva,9
938,Tadbulb,9
946,Bramblin,9
954,Rabsca,9
962,Bombirdier,9
970,Glimmora,9
978,Tatsugiri,9
986,Brute BonnetP,9
994,Iron MothP,9
1002,Chien-PaoL,9
1010,Iron LeavesP,9
1018,Archaludon,9
Dex #,Name,9
907,Floragato,9
915,Lechonk,9
923,Pawmot,9
931,Squawkabilly,9
939,Bellibolt,9
947,Brambleghast,9
955,Flittle,9
963,Finizen,9
971,Greavard,9
979,Annihilape,9
987,Flutter ManeP,9
995,Iron ThornsP,9
1003,Ting-LuL,9
1011,Dipplin,9
1019,Hydrapple,9
Dex #,Name,9
908,Meowscarada,9
916,Oinkologne,9
924,Tandemaus,9
932,Nacli,9
940,Wattrel,9
948,Toedscool,9
956,Espathra,9
964,Palafin,9
972,Houndstone,9
980,Clodsire,9
988,Slither WingP,9
996,Frigibax,9
1004,Chi-YuL,9
1012,Poltchageist,9
1020,Gouging FireP,9
Dex #,Name,9
909,FuecocoS,9
917,Tarountula,9
925,Maushold,9
933,Naclstack,9
941,Kilowattrel,9
949,Toedscruel,9
957,Tinkatink,9
965,Varoom,9
973,Flamigo,9
981,Farigiraf,9
989,Sandy ShocksP,9
997,Arctibax,9
1005,Roaring MoonP,9
1013,Sinistcha,9
1021,Raging BoltP,9
Dex #,Name,9
910,Crocalor,9
918,Spidops,9
926,Fidough,9
934,Garganacl,9
942,Maschiff,9
950,Klawf,9
958,Tinkatuff,9
966,Revavroom,9
974,Cetoddle,9
982,Dudunsparce,9
990,Iron TreadsP,9
998,Baxcalibur,9
1006,Iron ValiantP,9
1014,OkidogiL,9
1022,Iron BoulderP,9
Dex #,Name,9
911,Skeledirge,9
919,Nymble,9
927,Dachsbun,9
935,Charcadet,9
943,Mabosstiff,9
951,Capsakid,9
959,Tinkaton,9
967,Cyclizar,9
975,Cetitan,9
983,Kingambit,9
991,Iron BundleP,9
999,Gimmighoul,9
1007,KoraidonLP,9
1015,MunkidoriL,9
1023,Iron CrownP,9
Dex #,Name,9
912,QuaxlyS,9
920,Lokix,9
928,Smoliv,9
936,Armarouge,9
944,Shroodle,9
952,Scovillain,9
960,Wiglett,9
968,Orthworm,9
976,Veluza,9
984,Great TuskP,9
992,Iron HandsP,9
1000,Gholdengo,9
1008,MiraidonLP,9
1016,FezandipitiL,9
1024,TerapagosL,9
Dex #,Name,9
913,Quaxwell,9
921,Pawmi,9
929,Dolliv,9
937,Ceruledge,9
945,Grafaiai,9
953,Rellor,9
961,Wugtrio,9
969,Glimmet,9
977,Dondozo,9
985,Scream TailP,9
993,Iron JugulisP,9
1001,Wo-ChienL,9
1009,Walking WakeP,9
1017,OgerponL,9
1025,PecharuntM,9
