Dex #,Name,Gen
Dex #,Name,7
722,RowletS,7
730,Primarina,7
738,Vikavolt,7
746,Wishiwashi,7
754,Lurantis,7
762,Steenee,7
770,Palossand,7
778,Mimikyu,7
786,Tapu LeleL,7
794,BuzzwoleU,7
802,MarshadowM,7
Dex #,Name,7
723,Dartrix,7
731,Pikipek,7
739,Crabrawler,7
747,Mareanie,7
755,Morelull,7
763,Tsareena,7
771,Pyukumuku,7
779,Bruxish,7
787,Tapu BuluL,7
795,PheromosaU,7
803,PoipoleU,7
Dex #,Name,7
724,Decidueye,7
732,Trumbeak,7
740,Crabominable,7
748,Toxapex,7
756,Shiinotic,7
764,Comfey,7
772,Type: NullL,7
780,Drampa,7
788,Tapu FiniL,7
796,XurkitreeU,7
804,NaganadelU,7
Dex #,Name,7
725,LittenS,7
733,Toucannon,7
741,Oricorio,7
749,Mudbray,7
757,Salandit,7
765,Oranguru,7
773,SilvallyL,7
781,Dhelmise,7
789,CosmogL,7
797,CelesteelaU,7
805,StakatakaU,7
Dex #,Name,7
726,Torracat,7
734,Yungoos,7
742,Cutiefly,7
750,Mudsdale,7
758,Salazzle,7
766,Passimian,7
774,Minior,7
782,Jangmo-o,7
790,CosmoemL,7
798,KartanaU,7
806,BlacephalonU,7
Dex #,Name,7
727,Incineroar,7
735,Gumshoos,7
743,Ribombee,7
751,Dewpider,7
759,Stufful,7
767,Wimpod,7
775,Komala,7
783,Hakamo-o,7
791,SolgaleoL,7
799,GuzzlordU,7
807,ZeraoraM,7
Dex #,Name,7
728,PopplioS,7
736,Grubbin,7
744,Rockruff,7
752,Araquanid,7
760,Bewear,7
768,Golisopod,7
776,Turtonator,7
784,Kommo-o,7
792,LunalaL,7
800,NecrozmaL,7
808,MeltanM,7
Dex #,Name,7
729,Brionne,7
737,Charjabug,7
745,Lycanroc,7
753,Fomantis,7
761,Bounsweet,7
769,Sandygast,7
777,Togedemaru,7
785,Tapu KokoL,7
793,NihilegoU,7
801,MagearnaM,7
809,MelmetalM,7
